0,1,2
PERFIL DE ARRANQUE,,
Corriente,1533632.0,Amps
Radio Mayor,0.9,m
Campo Toroidal,1.93,T
Vacuum $F = RB_t$,1.7369999999999999,
FORMA DEL PLASMA,,
Poloidal Beta,0.3300072164433682,
Toroidal Beta,0.03519484761932437,
Total Beta,0.031803088862082454,
Normalized Beta,1.3115003863078816,
Elongation,2.2484362047679327,
Triangularity,0.5881700442964155,
Intersect Walls,False,
Plasma Aspect Ratio,3.5230185227208954,
Inverse Plasma Aspect Ratio,0.28384749996366204,
Minour Radius,0.4421743520325684,m
Plasma Volume,12.013205718477007,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,1533632.0,Amps
Plasma Pressure on Axis,66297.38208265018,Pascals
Plasma Average Pressure,20721.270592715122,Pascals
Plasma Thermal Energy,373393.3295677721,Joules
am,2,
an,1,
L,2697835.5870951074,
Beta0,0.13785112535005917,
,,
Geometric Axis,"[array([1.55778843e+00, 4.47371456e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.582695624432088), np.float64(0.00044737145623079957), np.float64(0.4081395259316739))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.1155682424063627), np.float64(1.9999738444906905))","(R,Z)"
Shafranov Shift,"[array([2.49071919e-02, 3.00866103e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
