0,1,2
PERFIL DE ARRANQUE,,
Corriente,150000.0,Amps
Radio Mayor,2,m
Campo Toroidal,0.4,T
Vacuum $F = RB_t$,0.8,
FORMA DEL PLASMA,,
Poloidal Beta,0.3000560915706729,
Toroidal Beta,0.0021368810901735494,
Total Beta,0.00212177067660789,
Normalized Beta,0.3591655052516457,
Elongation,2.079440313923336,
Triangularity,0.43403742323503663,
Intersect Walls,False,
Plasma Aspect Ratio,3.2054431989558974,
Inverse Plasma Aspect Ratio,0.31196934025401796,
Minour Radius,0.4755406859481228,m
Plasma Volume,12.514073051203592,m^2
,,
PARÁMETROS DEL PLASMA,,
Plasma Current,150000.0,Amps
Plasma Pressure on Axis,1124.8240030330044,Pascals
Plasma Average Pressure,251.76270482321013,Pascals
Plasma Thermal Energy,4725.865319589388,Joules
am,2,
an,2,
L,350460.91836869065,
Beta0,0.17494084846143662,
,,
Geometric Axis,"[array([1.52431866e+00, 3.12007033e-04])]","(R,Z)"
Magnetic Axis,"(np.float64(1.5643830920357844), np.float64(0.00031200703280436355), np.float64(0.047131877126056786))","(R,Z,psi)"
Separatrix Boundary (Z=0.0),"(np.float64(1.0487351544495915), np.float64(1.9998765210082512))","(R,Z)"
Shafranov Shift,"[array([4.00644344e-02, 3.39897381e-17])]","(R,Z)"
,,
FORMA DEL PLASMA,,
"(RX,RZ)",1.3,1.0
"(CIX,CIZ)",2.0,0.0
"(CIX1,CIZ1)",1.76,0.66
"(CIX2,CIZ2)",1.91,0.376
"(CIX3,CIZ3)",1.3,0.0
,,
