0,1,2
FC1,0.023023154724121093,MA
FC2,-0.09819959643554688,MA
FC3,-0.09328269848632813,MA
FC4,-0.028749951171875,MA
FC5,0.0868599912109375,MA
FC6,0.10058962719726562,MA
FC7,-0.20073545690917968,MA
FC8,-0.09866507946777343,MA
FC9,0.09896880932617187,MA
FC10,0.024299538269042967,MA
FC11,-0.09790891040039063,MA
FC12,-0.09469203204345703,MA
FC13,-0.024772914306640626,MA
FC14,0.08465864599609375,MA
FC15,0.10158761267089844,MA
FC16,-0.20075321118164063,MA
FC17,-0.09856284594726562,MA
FC18,0.09916799267578125,MA
